issued_id,issued_member_id,issued_book_name,issued_date,issued_book_isbn,issued_emp_id
IS106,C106,Animal Farm,3/10/2024,978-0-330-25864-8,E104
IS107,C107,One Hundred Years of Solitude,3/11/2024,978-0-14-118776-1,E104
IS108,C108,The Great Gatsby,3/12/2024,978-0-525-47535-5,E104
IS109,C109,Jane Eyre,3/13/2024,978-0-141-44171-6,E105
IS110,C110,The Alchemist,3/14/2024,978-0-307-37840-1,E105
IS111,C109,Harry Potter and the Sorcerers Stone,3/15/2024,978-0-679-76489-8,E105
IS112,C109,A Game of Thrones,3/16/2024,978-0-09-957807-9,E106
IS113,C109,A Peoples History of the United States,3/17/2024,978-0-393-05081-8,E106
IS114,C109,The Guns of August,3/18/2024,978-0-19-280551-1,E106
IS115,C109,The Histories,3/19/2024,978-0-14-044930-3,E107
IS116,C110,"Guns, Germs, and Steel: The Fates of Human Societies",3/20/2024,978-0-393-91257-8,E107
IS117,C110,1984,3/21/2024,978-0-679-64115-3,E107
IS118,C101,Pride and Prejudice,3/22/2024,978-0-14-143951-8,E108
IS119,C110,Brave New World,3/23/2024,978-0-452-28240-7,E108
IS120,C110,The Road,3/24/2024,978-0-670-81302-4,E108
IS121,C102,The Shining,3/25/2024,978-0-385-33312-0,E109
IS122,C102,Fahrenheit 451,3/26/2024,978-0-451-52993-5,E109
IS123,C103,Dune,3/27/2024,978-0-345-39180-3,E109
IS124,C104,Where the Wild Things Are,3/28/2024,978-0-06-025492-6,E110
IS125,C105,The Kite Runner,3/29/2024,978-0-06-112241-5,E110
IS126,C105,Charlotte's Web,3/30/2024,978-0-06-440055-8,E110
IS127,C105,Beloved,3/31/2024,978-0-679-77644-3,E110
IS128,C105,A Tale of Two Cities,4/1/2024,978-0-14-027526-3,E110
IS129,C105,The Stand,4/2/2024,978-0-7434-7679-3,E110
IS130,C106,Moby Dick,4/3/2024,978-0-451-52994-2,E101
IS131,C106,To Kill a Mockingbird,4/4/2024,978-0-06-112008-4,E101
IS132,C106,The Hobbit,4/5/2024,978-0-7432-7356-4,E106
IS133,C107,Angels & Demons,4/6/2024,978-0-7432-4722-5,E106
IS134,C107,The Diary of a Young Girl,4/7/2024,978-0-375-41398-8,E106
IS135,C107,Sapiens: A Brief History of Humankind,4/8/2024,978-0-307-58837-1,E108
IS136,C107,1491: New Revelations of the Americas Before Columbus,4/9/2024,978-0-7432-7357-1,E102
IS137,C107,The Catcher in the Rye,4/10/2024,978-0-553-29698-2,E103
IS138,C108,The Great Gatsby,4/11/2024,978-0-525-47535-5,E104
IS139,C109,Harry Potter and the Sorcerers Stone,4/12/2024,978-0-679-76489-8,E105
IS140,C110,Animal Farm,4/13/2024,978-0-330-25864-8,E102
